t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{{nu}_{vs}}, drho_{{nu}_{vs}}, phi (GeV^4), rho_vs(MeV^4), sigma_rad (MeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
2.95478e-07,8.00038e-11,1.48729e+01,1.48729e+01,3.21955e-08,2.05289e-15,8.45291e-08,2.27232e-05,0.00000e+00,3.13639e+04,4.71483e-19,4.78273e-01,5.21727e-01,1.29314e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
4.43268e-07,8.00058e-11,1.48726e+01,1.48726e+01,3.21924e-08,2.05275e-15,8.45210e-08,2.27216e-05,0.00000e+00,3.13615e+04,7.06106e-19,4.78272e-01,5.21728e-01,1.29319e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
6.64951e-07,8.00087e-11,1.48720e+01,1.48720e+01,3.21878e-08,2.05252e-15,8.45088e-08,2.27191e-05,0.00000e+00,3.13579e+04,1.05655e-18,4.78272e-01,5.21728e-01,1.29326e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
9.97477e-07,8.00130e-11,1.48712e+01,1.48712e+01,3.21808e-08,2.05219e-15,8.44905e-08,2.27155e-05,0.00000e+00,3.13525e+04,1.57886e-18,4.78270e-01,5.21730e-01,1.29338e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
1.49627e-06,8.00195e-11,1.48700e+01,1.48700e+01,3.21703e-08,2.05169e-15,8.44631e-08,2.27100e-05,0.00000e+00,3.13443e+04,2.35484e-18,4.78269e-01,5.21731e-01,1.29355e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
2.24445e-06,8.00292e-11,1.48682e+01,1.48682e+01,3.21547e-08,2.05094e-15,8.44219e-08,2.27018e-05,0.00000e+00,3.13321e+04,3.50204e-18,4.78266e-01,5.21734e-01,1.29381e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
3.36672e-06,8.00439e-11,1.48655e+01,1.48655e+01,3.21313e-08,2.04982e-15,8.43603e-08,2.26896e-05,0.00000e+00,3.13138e+04,5.18554e-18,4.78262e-01,5.21738e-01,1.29420e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75005e-09
5.05013e-06,8.00658e-11,1.48615e+01,1.48614e+01,3.20962e-08,2.04813e-15,8.42679e-08,2.26712e-05,0.00000e+00,3.12863e+04,7.62818e-18,4.78256e-01,5.21744e-01,1.29478e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75004e-09
7.57525e-06,8.00986e-11,1.48554e+01,1.48553e+01,3.20437e-08,2.04561e-15,8.41297e-08,2.26436e-05,0.00000e+00,3.12453e+04,1.11107e-17,4.78247e-01,5.21753e-01,1.29565e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75003e-09
1.13629e-05,8.01479e-11,1.48463e+01,1.48462e+01,3.19654e-08,2.04184e-15,8.39230e-08,2.26023e-05,0.00000e+00,3.11838e+04,1.59408e-17,4.78234e-01,5.21766e-01,1.29696e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.75000e-09
1.70444e-05,8.02217e-11,1.48327e+01,1.48325e+01,3.18487e-08,2.03621e-15,8.36143e-08,2.25407e-05,0.00000e+00,3.10920e+04,2.23482e-17,4.78214e-01,5.21786e-01,1.29892e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74994e-09
2.55667e-05,8.03323e-11,1.48125e+01,1.48121e+01,3.16754e-08,2.02780e-15,8.31545e-08,2.24486e-05,0.00000e+00,3.09550e+04,3.02296e-17,4.78184e-01,5.21816e-01,1.30184e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74982e-09
3.83501e-05,8.04979e-11,1.47824e+01,1.47816e+01,3.14189e-08,2.01530e-15,8.24717e-08,2.23114e-05,0.00000e+00,3.07513e+04,3.86560e-17,4.78140e-01,5.21860e-01,1.30621e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74959e-09
5.75252e-05,8.07456e-11,1.47378e+01,1.47361e+01,3.10412e-08,1.99679e-15,8.14631e-08,2.21078e-05,0.00000e+00,3.04496e+04,4.52156e-17,4.78074e-01,5.21926e-01,1.31276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74915e-09
8.62879e-05,8.11155e-11,1.46717e+01,1.46688e+01,3.04882e-08,1.96953e-15,7.99840e-08,2.18070e-05,0.00000e+00,3.00058e+04,4.62310e-17,4.77975e-01,5.22025e-01,1.32256e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74844e-09
1.29432e-04,8.16668e-11,1.45742e+01,1.45694e+01,2.96859e-08,1.92978e-15,7.78389e-08,2.13663e-05,0.00000e+00,2.93587e+04,4.30142e-17,4.77827e-01,5.22173e-01,1.33729e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74737e-09
