bound, low, cent, high
1,2.472869e-01 ,2.472231e-01 ,2.471583e-01 
2,2.522774e-05 ,2.460223e-05 ,2.399756e-05 
3,1.024284e-05 ,1.033132e-05 ,1.043884e-05 
4,5.032234e-10 ,5.379931e-10 ,5.754094e-10 
5,1.685795e-15 ,1.083570e-14 ,3.513502e-14 
6,4.749191e-10 ,5.092015e-10 ,5.463047e-10 
